================= Elementos Regalos ===================

Colección de ebooks para Kindle/Tablets/Celulares
Listado completo (Colección completa. Para ver el listado de la colección de 3000 ebooks ir al final del archivo)
Fecha: 23/02/2017
Total: 28.000 titulos (Actualizamos todas las semanas)
Consultas: elementosregalos@gmail.com

=======================================================

autor	titulo
A. A. Attanasio	Radix
A. A. Attanasio	Reino del Grial
A. A. Attanasio	El dragón y el unicornio
A. A. Attanasio	El lobo y la corona
A. A. Fair	Cuidado con las curvas
A. A. Fair	Agencia de detectives
A. A. Fair	Donald Lam detective
A. A. Fair	El profesor de gimnasia
A. A. Fair	La coquetería de Bertha Cool
A. A. Fair	Los cuervos no saben contar
A. A. Fair	Los tontos mueren en viernes
A. A. Fair	Un accidente que trae cola
A. A. Fair	Mujeres atrapadas
A. A. Fair	Los tramposos no pueden cambiar sus fichas
A. A. Fair	Carnada seductora
A. A. Fair	Doble o sencillo
A. A. Fair	Hay que cerrar las ventanas
A. A. Fair	Las lechuzas lo ven todo
A. A. Fair	Contar hasta nueve
A. A. Fair	Asesinato imperfecto
A. A. Fair	El ciego y el murciélago
A. A. Fair	Bertha, la tetera y el gato
A. A. Fair	Algunas mujeres no esperan
A. A. Fair	A quien le toque...
A. A. Fair	La puerta verde
A. A. Fair	Un desliz sin importancia
A. A. Fair	Se puede morir riendo
A. B. Guthrie Jr.	Bajo cielos inmensos
A. C. Crispin	Puente a las estrellas
A. C. Crispin	El hijo del ayer
A. C. H. Smith	Labyrinth
A. C. H. Smith	Labyrinth
A. C. H. Smith	Dentro del laberinto
A. E. Van Vogt	Slan
A. E. Van Vogt	El mundo de los No-A
A. E. Van Vogt	La bestia
A. E. Van Vogt	Éxodo estelar
A. E. Van Vogt	Los jugadores de No-A
A. E. Van Vogt	Las armerías de Isher
A. E. Van Vogt	El viaje del Beagle espacial
A. E. W. Mason	Las cuatro plumas
A. G. Howard	Engaños
A. G. Howard	Susurros
A. G. Howard	Delirios
A. J. Cronin	Velando en la noche
A. J. Cronin	El doctor nativo
A. J. Cronin	La ciudadela
A. J. Cronin	Las llaves del reino
A. J. Drew	Wicca Spellcraft for Men
A. J. Drew	A Wiccan Bible
A. J. Kazinski	El sueño y la muerte
A. J. Kazinski	La santa alianza
A. J. Kazinski	El último hombre bueno
A. J. Molloy	La historia de X
A. J. P. Taylor	Los orígenes de la Segunda Guerra Mundial
A. L. Martin	El crucigrama de Jacob
A. Lee Martinez	Emperor Mollusk Versus the Sinister Brain
A. M. Dean	La biblioteca perdida
A. M. Homes	Este libro te salvará la vida
A. M. Homes	El fin de Alice
A. R. Ammons	Basura y otros poemas
A. S. A. Harrison	La mujer de un solo hombre
A. S. Byatt	Ángeles e insectos
A. S. Byatt	El libro de los niños
A. S. Byatt	Posesión
A. S. Byatt	El libro negro de los cuentos
A. S. Turberville	La Inquisición española
A. Thorkent	Huida a las estrellas
A. Thorkent	Intriga galáctica
A. Thorkent	Motín en el espacio
A. Thorkent	Esclavo del Imperio
A. Thorkent	Cita en el futuro
A. Thorkent	Traición en Urlanka
A. Thorkent	Los humanoides de Kebash
A. Thorkent	Los mercenarios de las estrellas
A. Thorkent	Las torres de Pandora
A. Thorkent	El poder estelar
A. Thorkent	Mercaderes del espacio
A. Thorkent	Cofradía de asesinos
A. Thorkent	Objetivo: destruir un mundo
A. Thorkent	Contrabandistas del Cosmos
A. Thorkent	Los guerreros del tiempo II - Los mercenarios de las estrellas
A. Thorkent	El poder estelar. Mercaderes del espacio
A. Thorkent	Las huellas del Imperio
A. Thorkent	Cita en el futuro. Traición en Urlanka.
A. Thorkent	Rebeldes en Dangha . Los brujos de Lero
A. Thorkent	Amenaza a la Tierra
A. Thorkent	Los guerreros del tiempo I
A. Thorkent	Huida a las estrellas. Intriga galáctica.
A. Thorkent	Rebeldes en Dangha
A. Thorkent	Los mercenarios de Whutoo
A. Thorkent	Motín en el espacio. Esclavo del Imperio.
A. Thorkent	Los brujos de Lero
AA. VV.	Terapia cognitiva de los trastornos de personalidad
AA. VV.	Visiones macabras
AA. VV.	Ciencia ficción. Selección 2
AA. VV.	Ciencia ficción. Selección 29
AA. VV.	La Tierra Media
AA. VV.	Nicolás tiene 2 papás
AA. VV.	Mirrorshades: Una antología cyberpunk
AA. VV.	Imperios Galácticos 3
AA. VV.	Tres-X infinito
AA. VV.	Ciencia ficción. Selección 31
AA. VV.	Horror
AA. VV.	La estrella
AA. VV.	Horror 2
AA. VV.	La nueva Atlántida
AA. VV.	Monstruos del mar
AA. VV.	Horror 4
AA. VV.	Is Human Nature Obsolete?
AA. VV.	Cuentos románticos alemanes
AA. VV.	Legados macabros
AA. VV.	Los mitos del 18 de julio
AA. VV.	Relatos de Faerun
AA. VV.	Una galaxia llamada Roma
AA. VV.	Encuentro con la sombra
AA. VV.	Las ruinas de mi cerebro
AA. VV.	Ciencia ficción. Selección 16
AA. VV.	Fórmulas elegantes
AA. VV.	Pensar la matemática
AA. VV.	R-209. Habla el Frente de Liberación Animal
AA. VV.	La Guerra de la Lanza
AA. VV.	Umbral cósmico
AA. VV.	La vida te despeina
AA. VV.	Cuentos de ciclismo
AA. VV.	Encrucijadas del tiempo
AA. VV.	Cuentos eróticos de verano
AA. VV.	La cuna vacía
AA. VV.	Be my Valentine
AA. VV.	El planeta loco
AA. VV.	Alemán - Unidad 3
AA. VV.	Democracia electrónica
AA. VV.	Alemán - Unidad 4
AA. VV.	Pioneros de la ciencia ficción rusa (Volumen II)
AA. VV.	Sonrisas de metal
AA. VV.	Alemán - Unidad 5
AA. VV.	Alemán - Unidad 6
AA. VV.	Nueva Dimensión 1
AA. VV.	Alem
AA. VV.	Juventud caníbal
AA. VV.	Nueva historia general de México
AA. VV.	Ciencia ficción. Selección 35
AA. VV.	Feliz cumpleaños... erótico
AA. VV.	Lo mejor de Fantasy & Science Fiction 2ª serie
AA. VV.	Ciencia ficción. Selección 5
AA. VV.	Viajeros del tiempo
AA. VV.	República y Guerra en España (1931-1939)
AA. VV.	Ciencia ficción. Selección 14
AA. VV.	El último frente. La resistencia armada antifranquista en España 1939-1952
AA. VV.	Ciencia ficción. Selección 3
AA. VV.	Antología del cuento extraño 3
AA. VV.	Cuando fuimos a ver el fin del mundo
AA. VV.	Más Allá 1
AA. VV.	Miedo en el cuerpo (25 años de terror con Valdemar)
AA. VV.	Horizontes lejanos
AA. VV.	La gran represión. Los años de plomo del franquismo
AA. VV.	Día de muertos
AA. VV.	Lo mejor de la ciencia ficción alemana
AA. VV.	Libros de caballerías castellanos
AA. VV.	Relatos del alma rusa
AA. VV.	Los hombres-lobo
AA. VV.	La Peste Negra
AA. VV.	Twin Peaks. 25 años después
AA. VV.	Frankenstein insólito
AA. VV.	Alemán - Unidad 29
AA. VV.	Ciencia ficción. Selección 26
AA. VV.	The Mammoth Book of Steampunk
AA. VV.	En el combate por la Historia
AA. VV.	Diez bicicletas para treinta sonámbulos
AA. VV.	España bajo el franquismo
AA. VV.	¿Sueñan los androides con alpacas eléctricas?
AA. VV.	Alemán - Unidad 30
AA. VV.	Las mejores recetas de la Cocina Regional Salteña
AA. VV.	Alemán - Unidad 20
AA. VV.	Sí , chef
AA. VV.	Los mejores relatos de fantasía I
AA. VV.	Imperios Galácticos 2
AA. VV.	Los mejores relatos de fantasía II
AA. VV.	Los mejores relatos de Fantasía III. Más allá de Tierras de Nunca
AA. VV.	Alemán - Unidad 14
AA. VV.	Ciencia ficción. Selección 15
AA. VV.	Cuentos eróticos de Navidad
AA. VV.	Alemán - Unidad 28
AA. VV.	Nueva Dimensión 4
AA. VV.	Pioneros de la ciencia ficción rusa
AA. VV.	Dangerous Women
AA. VV.	Narraciones terror
AA. VV.	Fantasmagoria
AA. VV.	Noches de pesadilla
AA. VV.	Los niños de la estación del Zoo
AA. VV.	El camino a Eleusis
AA. VV.	Narraciones terroríficas - Vol. 6
AA. VV.	Los enteógenos y la ciencia
AA. VV.	El horror según Lovecraft (vol. I)
AA. VV.	Evolutions - Essential Tales of the Halo Universe
AA. VV.	El horror según Lovecraft (vol II)
AA. VV.	Segundo gran libro del terror
AA. VV.	Narraciones terroríficas - Vol. 2
AA. VV.	Narraciones terroríficas - Vol. 3
AA. VV.	Historia del Paraguay
AA. VV.	Teatro breve del Siglo de Oro
AA. VV.	Huérfanos de Sofía
AA. VV.	El Señor de los Anillos y la filosofía
AA. VV.	El libro de los cuentos de hoy
AA. VV.	Ciencia ficción. Selección 20 (Especial)
AA. VV.	Homenaje a Tolkien, 19 Relatos Fantasticos Tomo I
AA. VV.	Historias de ciencia ficción
AA. VV.	Homenaje a Tolkien, 19 Relatos Fantasticos Tomo II
AA. VV.	Hombre contra mundo
AA. VV.	El Cataclismo
AA. VV.	Las nuevas aventuras de Sherlock Holmes
AA. VV.	Obras maestras, la mejor ciencia ficción del siglo xx
AA. VV.	Relatos que me asustaron
AA. VV.	Imperios Galácticos 4
AA. VV.	Los fenicios
AA. VV.	Relatos del mar
AA. VV.	El reino de Istar
AA. VV.	Lo mejor de «Isaac Asimov Science Fiction Magazine»
AA. VV.	Ciencia ficción. Selección 22
AA. VV.	Once upon a time in America
AA. VV.	Otros mundos, otros tiempos
AA. VV.	Última etapa
AA. VV.	La sombra del espacio
AA. VV.	Huevo de ángel
AA. VV.	Alem
AA. VV.	Cuentos de la Quinta Era
AA. VV.	El caso León Trotsky
AA. VV.	Antología de la literatura fantástica
AA. VV.	Ciencia ficción. Selección 36
AA. VV.	El cuerpo del delito
AA. VV.	La tragedia del copyright
AA. VV.	Ciencia ficción. Selección 21
AA. VV.	Antología del cuento norteamericano
AA. VV.	Tierra y libertad
AA. VV.	Mujeres y maravillas
AA. VV.	Ciencia ficción. Selección 33
AA. VV.	Alemán - Unidad 10
AA. VV.	Las 40 empresas que crecen en tiempos de crisis
AA. VV.	Sagrada Biblia (Versión oficial de la Conferencia Episcopal Española)
AA. VV.	Escalofríos en el trópico
AA. VV.	Cuentos y relatos libertinos
AA. VV.	Los errores mortales
AA. VV.	Los mejores relatos de terror llevados al cine
AA. VV.	Lo mejor de la ciencia ficción francesa
AA. VV.	Vampiras. Antología de relatos sobre mujeres vampiro
AA. VV.	Todos los evangelios
AA. VV.	350 palabras
AA. VV.	Terror
AA. VV.	Reacciona
AA. VV.	Antolog
AA. VV.	Un par del espacio
AA. VV.	Alemán - Unidad 26
AA. VV.	El gran libro de las frases célebres
AA. VV.	Ciencia ficción. Selección 37
AA. VV.	Victimas de la guerra civil
AA. VV.	Las chicas con las chicas
AA. VV.	Cuentos inolvidables según Julio Cortázar
AA. VV.	Ciencia ficción. Selección 7
AA. VV.	Antología del cuento extraño 2
AA. VV.	Ficciones desde Brasil
AA. VV.	Golpe en Brasil: Genealogía de una farsa
AA. VV.	Rastros de Dixan
AA. VV.	El libro negro del comunismo
AA. VV.	Alemán - Unidad 27
AA. VV.	Encuentro con Medusa
AA. VV.	Los premios Hugo 1970-1972
AA. VV.	Cuentos de ajedrez
AA. VV.	Ciencia ficción. Selección 38
AA. VV.	Los mejores relatos de ciencia ficción
AA. VV.	Morir, matar, sobrevivir
AA. VV.	Economía para andar por casa
AA. VV.	La República asediada
AA. VV.	... Ojo de la noche
